Class,URL
"['promontory, headland, head, foreland']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90293_submitter_file6__3original.JPG
"['promontory, headland, head, foreland']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90293_submitter_file7__4copywitharrow.jpg
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90290_submitter_file2__IMG19071.JPG
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90290_submitter_file3__IMG18831.jpg
['ping-pong ball'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90290_submitter_file4__IMG1882.jpg
"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90271_submitter_file1__IMG20180131162246.jpg
"['garbage truck, dustcart']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90271_submitter_file2__IMG20180131162310.jpg
"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90271_submitter_file3__IMG20180131162431.jpg
['pole'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90271_submitter_file4__IMG20180131162532.jpg
['balloon'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90271_submitter_file5__IMG20180131162535.jpg
['pole'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90271_submitter_file6__IMG20180131162550.jpg
['pole'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90271_submitter_file7__IMG20180131162552.jpg
"['seashore, coast, seacoast, sea-coast']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90264_submitter_file1__fountainhills.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90223_submitter_file2__20180129024805.jpg
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90223_submitter_file4__20180129025343.jpg
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90217_submitter_file1__28053380202590190324196719752393n.jpg
"['bell cote, bell cot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90203_submitter_file1__ufo.jpg
"['container ship, containership, container vessel']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90184_submitter_file1__20180202003121.jpg
['library'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90184_submitter_file2__20180201010331.jpg
"['fire engine, fire truck']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90184_submitter_file3__20180201010325.jpg
['library'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90184_submitter_file4__20180201010304.jpg
"['container ship, containership, container vessel']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90184_submitter_file5__20180202003121.jpg
['barn'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90180_submitter_file1__Screenshot20180211133853.jpg
['golf ball'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90180_submitter_file2__Screenshot20180211133820.jpg
['geyser'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90162_submitter_file1__IMG4815.JPG
['kite'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90162_submitter_file2__IMG4835.PNG
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90162_submitter_file3__IMG4836.PNG
"['leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90151_submitter_file3__IMG2583.JPG
['volcano'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90151_submitter_file5__IMG2590.JPG
['wing'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90144_submitter_file1__objextintrails.jpg
['fireboat'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90144_submitter_file2__object2.jpg
['suspension bridge'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90138_submitter_file1__LakefrontUfoPenrose.jpg
"['lakeside, lakeshore']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90138_submitter_file2__LakefrontPenrose.jpg
['barn'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90138_submitter_file3__LakefrontUfoPenroseedgedetection.jpg
['barn'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90138_submitter_file4__LakefrontUfoPenroseedgedetectioncroppedsmaller.jpg
"['mobile home, manufactured home']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90135_submitter_file1__image.jpg
['rapeseed'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90135_submitter_file2__image.jpg
"['traffic light, traffic signal, stoplight']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90135_submitter_file3__image.jpg
"['beacon, lighthouse, beacon light, pharos']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90135_submitter_file4__image.jpg
['fountain'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90135_submitter_file5__image.jpg
"['cliff, drop, drop-off']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90132_submitter_file1__ufo.jpg
"['cliff, drop, drop-off']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90132_submitter_file2__ufocloseup.jpg
['jellyfish'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90104_submitter_file1__DSC00023.JPG
['envelope'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90104_submitter_file2__omg.JPG
['missile'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90104_submitter_file3__DSC00023copy.jpg
"['lakeside, lakeshore']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90099_submitter_file1__ufo1.jpg
"['lakeside, lakeshore']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90099_submitter_file2__ufo2.jpg
"['lakeside, lakeshore']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90095_submitter_file1__32E02885EF69457EAF3E70D32B7F891E.jpeg
['chainlink fence'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90095_submitter_file3__A712CE92378C48B9811A8F371D2A3039.jpeg
"['traffic light, traffic signal, stoplight']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90090_submitter_file1__IMG0432.jpg
"['church, church building']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90081_submitter_file1__1.jpg
['barn'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90081_submitter_file2__2.jpg
['volcano'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90079_submitter_file1__IMG20180206183122.jpg
['torch'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90079_submitter_file2__IMG20180206183126.jpg
['planetarium'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90079_submitter_file3__IMG20180206183129.jpg
['planetarium'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90079_submitter_file4__IMG20180206183130.jpg
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90058_submitter_file1__ufo.jpg
"['lakeside, lakeshore']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90037_submitter_file1__FBIMG1517744568713.jpg
"['lakeside, lakeshore']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90037_submitter_file2__received1706143739428410.jpeg
"['lakeside, lakeshore']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90037_submitter_file3__received1706143339428450.jpeg
"['lakeside, lakeshore']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90037_submitter_file4__received1706143192761798.jpeg
['jellyfish'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90018_submitter_file1__IMG87462.JPG
['tennis ball'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90018_submitter_file2__lights1211.jpg
['velvet'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90017_submitter_file1__IMG20180204WA0004.jpg
['wing'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90001_submitter_file1__2735649410214911253155996582110673897064736o.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89957_submitter_file1__20180131053145.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89957_submitter_file2__20180131053009.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89957_submitter_file3__20180131053147.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89957_submitter_file4__20180131054307.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89957_submitter_file5__20180131054327.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89957_submitter_file6__20180131054343.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89957_submitter_file7__20180131054907.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89957_submitter_file8__20180131054909.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89956_submitter_file1__20180131053145.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89956_submitter_file2__20180131053009.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89956_submitter_file3__20180131053147.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89956_submitter_file4__20180131054307.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89956_submitter_file5__20180131054327.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89956_submitter_file6__20180131054343.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89956_submitter_file7__20180131054907.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89956_submitter_file8__20180131054909.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89943_submitter_file1__nsp28277.jpg
['volcano'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89923_submitter_file1__sighting1118.jpg
['yurt'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89917_submitter_file1__20161014174931.jpg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89916_submitter_file1__20180130230613.jpg
['crane'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89899_submitter_file2__IMG26311.JPG
"['patio, terrace']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89885_submitter_file2__20180124140726.jpg
['cloak'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89876_submitter_file1__IMG1466.JPG
['tarantula'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89876_submitter_file2__IMG1467.JPG
['fountain'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89876_submitter_file3__IMG1468.JPG
['triumphal arch'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89871_submitter_file2__IMG5656.JPG
['bubble'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89868_submitter_file1__IMG20180121152900743.jpg
['bubble'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89868_submitter_file2__IMG20180121152901530.jpg
['fireboat'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89868_submitter_file3__IMG20180121152902290.jpg
"['picket fence, paling']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89868_submitter_file4__IMG20180121152912024.jpg
"['laptop, laptop computer']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89861_submitter_file1__6C5316B1DFAD4C57918D3A696155EB26.jpeg
"['wallet, billfold, notecase, pocketbook']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89861_submitter_file2__621C0B03488F43E3A1AAECB1AD8BF2D9.png
"['wallet, billfold, notecase, pocketbook']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89861_submitter_file3__67212695F9A94A24ACA3F8D5627719F5.png
"['parachute, chute']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89833_submitter_file1__IMG07.jpg
['kite'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89833_submitter_file2__IMG0743.JPG
"['parachute, chute']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89833_submitter_file3__IMG0745.JPG
"['solar dish, solar collector, solar furnace']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89825_submitter_file1__D37CB289BCAF446D9BCBAFF7BE9D32AE.jpeg
['rapeseed'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89820_submitter_file1__UFO.JPG
['rapeseed'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89820_submitter_file2__UFOCopy.JPG
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89819_submitter_file1__1318triangle.jpg
['forklift'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89811_submitter_file1__217C908EF682482086E2D077BECB194F.jpeg
['forklift'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89811_submitter_file2__A751DAA58D79400D845DF33440B2DDAF.jpeg
['suspension bridge'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89798_submitter_file2__DSCN0016.JPG
['crane'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89798_submitter_file3__DSCN0015.JPG
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89794_submitter_file1__14D2854CBD224119BC9CAF794C468ED9.jpeg
"['web site, website, internet site, site']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89794_submitter_file2__8A2BEECC88DF4BFBA7CBA089A36BA567.jpeg
"['web site, website, internet site, site']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89794_submitter_file3__4116B02971E44159AAEC7E7829A1F987.jpeg
"['spotlight, spot']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89794_submitter_file4__E6C3F9F037F645F4B300C2767D4750CC.jpeg
"['web site, website, internet site, site']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89794_submitter_file5__CEF0AF26480F415A97EC813A634E5EF6.jpeg
['strainer'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89794_submitter_file6__57B0F09609694CF395EFEBE4F1948189.jpeg
"['web site, website, internet site, site']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89794_submitter_file7__31B1179CF49F41D5A33356D76895C64A.jpeg
"['promontory, headland, head, foreland']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89793_submitter_file1__UFO01.jpg
"['flagpole, flagstaff']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89783_submitter_file1__DepthOfField4.JPG
['geyser'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89744_submitter_file1__Screenshot20180121002501.png
['fireboat'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89744_submitter_file2__Screenshot20180121002516.png
"['traffic light, traffic signal, stoplight']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89744_submitter_file3__Screenshot20180121002448.png
['car mirror'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89744_submitter_file4__2017120410.39.28.jpg
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89744_submitter_file5__PicsArt120410.23.05.jpg
['water tower'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89744_submitter_file6__201712031556230.jpg
['water tower'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89744_submitter_file7__20171203155623.jpg
['missile'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89738_submitter_file1__received10213722541692040.jpeg
"['aircraft carrier, carrier, flattop, attack aircraft carrier']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89738_submitter_file2__received10213722536171902.jpeg
['whiskey jug'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89722_submitter_file1__PSX20180121183356.jpg
"['bearskin, busby, shako']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89722_submitter_file2__PSX20180121183428.jpg
['hay'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89714_submitter_file1__DB895C1FD66C4B40B53C470C3BC73CF5.jpeg
['bubble'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89714_submitter_file2__99A87F558E2647E7B96236064D691932.jpeg
['geyser'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89714_submitter_file3__F09499F7DB8B4E9EADE1502E261A598B.jpeg
"['beacon, lighthouse, beacon light, pharos']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89714_submitter_file4__8A29162649DA4F6796A9B8E525F4509D.jpeg
['minivan'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89714_submitter_file5__6888BE9B064C4EF0A63F815E156EE36D.jpeg
['car wheel'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89714_submitter_file6__0D8E103AEF7E45439B70F2463C2466B1.jpeg
['bubble'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89714_submitter_file7__20371861DC0342AC919639BCCEBC28F0.jpeg
['pole'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89713_submitter_file1__2DB18200AAAA4AA09DC909E48BBE9D0A.jpeg
"['valley, vale']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89705_submitter_file1__0000309.JPG
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89697_submitter_file1__P1160727Medium.JPG
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89697_submitter_file2__P1160731Medium.JPG
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89697_submitter_file3__P1160732Medium.JPG
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89697_submitter_file4__P1160726Medium.JPG
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89697_submitter_file5__P1160725Medium.JPG
['barn'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89660_submitter_file1__IMGj9y9xa.jpg
"['caldron, cauldron']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89660_submitter_file3__2018011819305315163225504301516332247535.jpg
"['nematode, nematode worm, roundworm']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89657_submitter_file1__thumbnail.jpg
"['file, file cabinet, filing cabinet']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89651_submitter_file1__F1566178A12146F3AAB53A8DCC48114C.jpeg
['syringe'],http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89651_submitter_file2__E014F59753D74B0183616517AB5DA30C.jpeg
"['valley, vale']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89640_submitter_file1__IMG1759.JPG
"['valley, vale']",http://localhost:8764/inception/v4/classify/image?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/89640_submitter_file2__IMG1761.JPG
